2026-03-19 14:48:57 - test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:48:57 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:58 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:58 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:58 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:58 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:58 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:59 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:59 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:59 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:59 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:59 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:48:59 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:49:00 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:49:00 - +1, 020.0, 020.0,0, 28.1,+00.0,+000.0
2026-03-19 14:49:00 - +1, 080.0, 020.0,1, 28.1,-00.7,+302.7
2026-03-19 14:49:00 - +1, 080.0, 020.3,1, 28.1,-00.9,+478.5
2026-03-19 14:49:00 - +1, 080.0, 021.2,1, 28.1,-00.6,+263.7
2026-03-19 14:49:01 - +1, 080.0, 021.6,1, 28.1,-00.6,+064.5
2026-03-19 14:49:01 - +1, 080.0, 022.6,1, 28.2,-00.6,+267.6
2026-03-19 14:49:01 - +1, 080.0, 023.6,1, 28.2,-00.6,+070.3
2026-03-19 14:49:01 - +1, 080.0, 024.5,1, 28.2,-00.6,+064.5
2026-03-19 14:49:01 - +1, 080.0, 025.0,1, 28.2,-00.6,+128.9
2026-03-19 14:49:01 - +1, 080.0, 026.0,1, 28.2,-00.6,+068.4
2026-03-19 14:49:02 - +1, 080.0, 026.9,1, 28.2,-00.6,+082.0
2026-03-19 14:49:02 - +1, 080.0, 027.9,1, 28.2,-00.6,+058.6
2026-03-19 14:49:02 - +1, 080.0, 028.9,1, 28.2,-00.6,+115.2
2026-03-19 14:49:02 - +1, 080.0, 029.3,1, 28.3,-00.6,+111.3
2026-03-19 14:49:02 - +1, 080.0, 030.3,1, 28.3,-00.6,+296.9
