2026-03-19 14:53:39,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:53:39,+1, 080.0, 079.9,0, 28.2,+00.0,+000.0
2026-03-19 14:53:40,+1, 020.0, 079.9,2, 28.2,+01.1,+515.6
2026-03-19 14:53:40,+1, 020.0, 079.7,2, 28.2,+00.8,+367.2
2026-03-19 14:53:40,+1, 080.0, 078.8,2, 28.3,+00.6,+115.2
2026-03-19 14:53:40,+1, 080.0, 078.3,1, 28.3,+00.2,+011.7
2026-03-19 14:53:40,+1, 080.0, 078.1,1, 28.3,-00.7,+210.9
2026-03-19 14:53:41,+1, 080.0, 078.6,1, 28.3,+00.7,+005.9
2026-03-19 14:53:41,+1, 080.0, 078.7,1, 28.3,-00.2,+000.0
2026-03-19 14:53:41,+1, 080.0, 078.7,0, 28.3,+00.0,+000.0
2026-03-19 14:53:41,+1, 080.0, 078.7,0, 28.4,+00.0,+000.0
2026-03-19 14:53:41,+1, 080.0, 078.7,0, 28.4,+00.0,+000.0
2026-03-19 14:53:42,+1, 080.0, 078.7,0, 28.4,+00.0,+000.0
2026-03-19 14:53:42,+1, 080.0, 078.7,0, 28.4,+00.0,+000.0
2026-03-19 14:53:42,+1, 080.0, 078.7,0, 28.4,+00.0,+000.0
2026-03-19 14:53:42,+1, 080.0, 078.7,0, 28.5,+00.0,+000.0
2026-03-19 14:53:42,+1, 080.0, 078.7,0, 28.5,+00.0,+000.0
2026-03-19 14:53:42,+1, 080.0, 078.7,0, 28.5,+00.0,+000.0
2026-03-19 14:53:43,+1, 080.0, 078.7,0, 28.5,+00.0,+000.0
2026-03-19 14:53:44,+1, 080.0, 078.7,0, 28.5,+00.0,+000.0
2026-03-19 14:53:44,+1, 080.0, 078.7,0, 28.6,+00.0,+000.0
2026-03-19 14:53:47,+1, 080.0, 078.7,0, 28.6,+00.0,+000.0
2026-03-19 14:53:49,+1, 080.0, 078.7,0, 28.6,+00.0,+000.0
2026-03-19 14:53:49,+1, 020.0, 075.1,2, 28.6,+00.6,+222.7
2026-03-19 14:54:02,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:54:03,+1, 020.0, 020.0,0, 29.0,+00.0,+000.0
2026-03-19 14:54:03,+1, 080.0, 021.2,1, 29.0,-00.6,+064.5
2026-03-19 14:54:04,+1, 080.0, 022.7,1, 29.0,-00.6,+082.0
2026-03-19 14:54:04,+1, 080.0, 023.6,1, 29.0,-00.6,+064.5
2026-03-19 14:54:04,+1, 080.0, 024.6,1, 29.0,-00.6,+173.8
2026-03-19 14:54:05,+1, 080.0, 028.0,1, 29.0,-00.6,+150.4
2026-03-19 14:54:42,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:54:43,+1, 020.0, 020.0,0, 28.5,+00.0,+000.0
2026-03-19 14:54:43,+1, 080.0, 021.2,1, 28.6,-00.6,+134.8
2026-03-19 14:54:44,+1, 080.0, 022.1,1, 28.6,-00.6,+191.4
2026-03-19 14:54:44,+1, 080.0, 026.0,1, 28.6,-00.6,+134.8
2026-03-19 14:54:44,+1, 080.0, 026.9,1, 28.6,-00.6,+070.3
2026-03-19 14:54:45,+1, 080.0, 029.4,1, 28.6,-00.6,+132.8
2026-03-19 14:54:46,+1, 080.0, 033.7,1, 28.7,-00.6,+228.5
2026-03-19 14:54:46,+1, 020.0, 035.2,2, 28.7,+00.8,+349.6
2026-03-19 14:55:24,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:55:26,+1, 020.0, 020.0,0, 28.5,+00.0,+000.0
2026-03-19 14:55:27,+1, 080.0, 023.6,1, 28.5,-00.6,+099.6
2026-03-19 14:55:27,+1, 020.0, 022.8,2, 28.6,+00.6,+187.5
2026-03-19 14:55:28,+1, 020.0, 020.0,0, 28.7,+00.0,+000.0
2026-03-19 14:56:05,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:56:06,+1, 020.0, 020.0,0, 28.4,+00.0,+000.0
2026-03-19 14:56:06,+1, 020.0, 020.0,0, 28.4,+00.0,+000.0
2026-03-19 14:56:07,+1, 020.0, 020.0,0, 28.4,+00.0,+000.0
2026-03-19 14:56:37,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:56:38,+1, 020.0, 020.0,0, 28.3,+00.0,+000.0
2026-03-19 14:56:39,+1, 020.0, 020.0,0, 28.3,+00.0,+000.0
2026-03-19 14:57:36,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:57:36,+1, 020.0, 020.0,0, 28.2,+00.0,+000.0
2026-03-19 14:57:36,+1, 020.0, 020.0,0, 28.2,+00.0,+000.0
2026-03-19 14:57:37,+1, 020.0, 020.0,0, 28.2,+00.0,+000.0
2026-03-19 14:57:38,+1, 020.0, 020.0,0, 28.2,+00.0,+000.0
2026-03-19 14:57:39,+1, 020.0, 020.0,0, 28.2,+00.0,+000.0
2026-03-19 15:06:04,time_stamp,test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 15:06:04,+1, 020.0, 020.0,0, 27.8,+00.0,+000.0
2026-03-19 15:06:06,+1, 080.0, 020.7,1, 27.8,-00.7,+226.6
2026-03-19 15:06:08,+1, 080.0, 025.9,1, 27.8,-00.6,+199.2
2026-03-19 15:06:10,+1, 020.0, 020.3,2, 28.0,+00.5,+144.5
